Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),RUL
1,3690.234,1488.734,4.191491807505295,3.479393559379272,7249.6720000000005,760.25,7597.875,167
2,3672.344,1472.266,4.189773213846608,3.001950570776504,7609.0470000000005,3367.391,10516.0,166
3,3651.641,1471.641,4.188186735991303,3.0358785775794024,7568.453,3364.156,10484.547,165
4,3631.563,1472.5320000000002,4.188461118855572,3.0661450551857485,7491.562,3354.547,10397.89,164
5,3629.172,1471.328,4.188298524761055,3.0637656606174013,7589.563,3353.062,10495.203,163
6,3652.281,1472.797,4.188815807948604,3.0593224041262927,7886.984,3354.782,10792.672,162
7,3650.828,1472.3429999999998,4.18839163793879,3.0533599221041614,7871.0160000000005,3357.188,10789.985,161
8,3572.453,1473.438,4.188927891511958,3.048720950345317,7207.8279999999995,3356.391,10127.562,160
9,3550.594,1472.9070000000002,4.189029250882121,3.0824222303522406,7243.671999999994,3339.453,10147.952999999994,159
10,3551.25,1453.3120000000001,4.189223427076418,3.075795646323062,7252.874999999999,3334.266,10162.094,158
11,3530.25,1454.359,4.188916055911241,3.06985284508505,7211.688,3331.844,10119.375,157
12,3491.016,1454.875,4.189876247266316,3.0612589860161115,7103.485000000001,3335.766,10013.235,156
13,3470.281,1453.688,4.189286794768804,3.34157125606709,6958.514999999999,3037.141,9586.875,155
14,3470.0,1454.187,4.188837765892728,3.092615790717664,7066.5,3307.36,9952.359,154
15,3450.297,1434.953,4.189110301768517,3.082964486167869,7864.266000000005,3305.109000000006,10758.031000000004,153
16,3429.407,1452.313,4.18921207304098,3.0770823404741723,7036.875,3307.204,9921.75,152
17,3409.484,1453.094,4.188899969428112,3.1099815648289453,7138.125,3270.531,10000.25,151
18,3390.422,1433.437,4.188779799856791,3.1054460082871422,7072.813000000001,3274.359,9936.031,150
19,3390.281,1434.328,4.189272591516219,3.098521142673477,7135.624999999999,3275.781,9989.532,149
20,3591.734,1493.641,4.187614060563439,3.089171188226161,7296.266,3272.703,10158.782,148
21,3552.297,1476.031,4.1876287811083985,3.235784344365443,7474.734,3253.828,10289.312,147
22,3531.578,1474.812,4.187447226312926,3.0683685778510936,7307.405999999994,3401.594,10283.077999999994,146
23,3492.907,1493.719,4.187344026387161,3.062344528295997,7301.0779999999995,3407.86,10281.39,145
24,3511.594,1474.156,4.187438187636325,3.0904138909445984,7132.6410000000005,3375.985,10081.797,144
25,3431.937000000006,1474.406000000003,4.18774138117799,3.1140130371184864,7872.625,3348.641,10797.328,143
26,3431.125,1473.141,4.188261122540052,3.108464373403045,7183.500000000001,3352.25,10099.218,142
27,3412.406,1472.9209999999998,4.187338767288234,3.099532736693632,7161.329,3343.063,10078.719,141
